Step,Training Loss
100,8.522
200,6.803
300,6.287
400,5.876
500,5.5
600,5.254
700,5.067
800,4.916
900,4.824
1000,4.726
1100,4.612
1200,4.557
1300,4.496
1400,4.467
1500,4.416
1600,4.401
1700,4.375
1800,4.343
1900,4.298
2000,4.308
2100,4.28
2200,4.246
2300,4.257
2400,4.227
2500,4.224
2600,4.181
2700,4.187
2800,4.151
2900,4.132
3000,4.13
3100,4.12
3200,4.097
3300,4.074
3400,4.079
3500,4.055
3600,4.053
3700,4.029
3800,4.037
3900,4.018
4000,3.991
4100,4.005
4200,3.999
4300,3.979
4400,3.97
4500,3.981
4600,3.947
4700,3.956
4800,3.943
4900,3.944
5000,3.95
5100,3.913
5200,3.926
5300,3.92
5400,3.903
5500,3.907
5600,3.905
5700,3.888
5800,3.889
5900,3.886
6000,3.881
6100,3.88
6200,3.856
6300,3.865
6400,3.862
6500,3.848
6600,3.857
6700,3.86
6800,3.825
6900,3.835
7000,3.831
7100,3.834
7200,3.836
7300,3.808
7400,3.823
7500,3.825
7600,3.793
7700,3.804
7800,3.826
7900,3.795
8000,3.794
8100,3.803
8200,3.802
8300,3.79
8400,3.763
8500,3.789
8600,3.787
8700,3.759
8800,3.772
8900,3.779
9000,3.759
9100,3.75
9200,3.771
9300,3.759
9400,3.755
9500,3.748
9600,3.753
9700,3.746
9800,3.731
9900,3.748
10000,3.741
10100,3.72
10200,3.722
10300,3.734
10400,3.727
10500,3.721
10600,3.713
10700,3.735
10800,3.725
10900,3.707
11000,3.718
11100,3.713
11200,3.697
11300,3.708
11400,3.711
11500,3.707
11600,3.693
11700,3.705
11800,3.702
11900,3.68
12000,3.69
12100,3.699
12200,3.69
12300,3.677
12400,3.684
12500,3.671
12600,3.675
12700,3.665
12800,3.686
12900,3.678
13000,3.653
13100,3.664
13200,3.668
13300,3.651
13400,3.66
13500,3.663
13600,3.655
13700,3.646
13800,3.648
13900,3.655
14000,3.64
14100,3.63
14200,3.66
14300,3.652
14400,3.628
14500,3.64
14600,3.651
14700,3.624
14800,3.631
14900,3.634
15000,3.64
15100,3.631
15200,3.607
15300,3.635
15400,3.63
15500,3.61
15600,3.628
15700,3.63
15800,3.601
15900,3.619
16000,3.615
16100,3.618
16200,3.623
16300,3.598
16400,3.616
16500,3.614
16600,3.59
16700,3.614
16800,3.614
16900,3.587
17000,3.6
17100,3.601
17200,3.592
17300,3.598
17400,3.582
17500,3.593
17600,3.594
17700,3.578
17800,3.597
17900,3.599
18000,3.564
18100,3.576
18200,3.584
18300,3.574
18400,3.586
18500,3.568
18600,3.582
18700,3.573
18800,3.55
18900,3.58
19000,3.583
19100,3.559
19200,3.57
19300,3.575
19400,3.571
19500,3.555
19600,3.543
19700,3.57
19800,3.559
19900,3.539
20000,3.563
20100,3.556
20200,3.539
20300,3.545
20400,3.559
20500,3.552
20600,3.531
20700,3.553
20800,3.555
20900,3.524
21000,3.532
21100,3.548
21200,3.54
21300,3.52
21400,3.525
21500,3.539
21600,3.533
21700,3.513
21800,3.533
21900,3.549
22000,3.519
22100,3.525
22200,3.534
22300,3.521
22400,3.507
22500,3.527
22600,3.526
22700,3.513
22800,3.522
22900,3.519
23000,3.517
23100,3.498
23200,3.522
23300,3.517
23400,3.501
23500,3.516
23600,3.508
23700,3.495
23800,3.501
23900,3.503
24000,3.514
24100,3.499
24200,3.488
24300,3.504
24400,3.502
24500,3.464
24600,3.51
24700,3.501
24800,3.479
24900,3.486
25000,3.496
25100,3.489
25200,3.48
25300,3.472
25400,3.5
25500,3.487
25600,3.47
25700,3.484
25800,3.496
25900,3.462
26000,3.474
26100,3.488
26200,3.477
26300,3.472
26400,3.462
26500,3.482
26600,3.474
26700,3.457
26800,3.479
26900,3.477
27000,3.453
27100,3.472
27200,3.464
27300,3.471
27400,3.468
27500,3.456
27600,3.468
27700,3.467
27800,3.452
27900,3.464
28000,3.464
28100,3.445
28200,3.454
28300,3.454
28400,3.449
28500,3.451
28600,3.442
28700,3.453
28800,3.444
28900,3.441
29000,3.459
29100,3.447
29200,3.429
29300,3.441
29400,3.44
29500,3.442
29600,3.438
29700,3.427
29800,3.453
29900,3.424
30000,3.425
30100,3.441
30200,3.436
30300,3.429
30400,3.432
30500,3.439
30600,3.439
30700,3.41
30800,3.414
30900,3.439
31000,3.412
31100,3.418
31200,3.427
31300,3.415
31400,3.404
31500,3.417
31600,3.423
31700,3.42
31800,3.401
31900,3.422
32000,3.421
32100,3.388
32200,3.404
32300,3.419
32400,3.405
32500,3.39
32600,3.398
32700,3.41
32800,3.395
32900,3.387
33000,3.41
33100,3.416
33200,3.386
33300,3.402
33400,3.404
33500,3.385
33600,3.387
33700,3.399
33800,3.393
33900,3.39
34000,3.398
34100,3.39
34200,3.38
34300,3.384
34400,3.396
34500,3.387
34600,3.38
34700,3.389
34800,3.384
34900,3.365
35000,3.387
35100,3.378
35200,3.383
35300,3.375
35400,3.373
35500,3.382
35600,3.37
35700,3.358
35800,3.385
35900,3.379
36000,3.348
36100,3.38
36200,3.375
36300,3.359
